n_iteration,m_valid,m_test,best_epoch,best_valid_loss,best_valid_acc,test_loss,test_acc
111,6,8,254,0.6432012435539869,0.8775,0.34015977709845663,0.8975
112,7,8,84,0.9520601992633443,0.775,0.44217615837661356,0.875
113,9,8,61,0.3730578657105869,0.9075,0.37329689046213016,0.895
114,10,8,285,0.663556366785283,0.855,0.465669236511144,0.87
115,11,8,285,0.923925064629746,0.84,0.40231205448994845,0.88
116,12,8,194,0.42270054454549244,0.9,0.49369073106260714,0.8575
117,13,8,213,0.5410251292527354,0.8875,0.5562948600355291,0.865
118,0,9,143,1.1115409956022468,0.7825,0.39939193341470164,0.8825
119,1,9,276,0.20783722791076847,0.965,0.49979506381033045,0.8625
120,2,9,44,0.4340301810874874,0.8825,0.3928888600424658,0.8525
121,3,9,125,0.3777460914983659,0.9175,0.3962331112820721,0.8925
122,4,9,198,1.055301154679115,0.8275,0.44080234174454214,0.8675
123,5,9,180,0.36505986201696494,0.91,0.3861162185163597,0.88
124,6,9,55,0.6017287073537355,0.86,0.4803333439613509,0.8425
125,7,9,295,1.0937078165651721,0.7875,0.444449636150936,0.8725
126,8,9,56,0.2990405026789441,0.9175,0.2389241287908201,0.92
127,10,9,244,0.8038684380422081,0.8525,0.5277402176009445,0.855
128,11,9,273,0.8462908997466247,0.8375,0.36128463255961657,0.8875
129,12,9,106,0.2774819720888518,0.92,0.4218679892428971,0.8825
130,13,9,194,0.49186535482881916,0.895,0.46570668747744615,0.87
131,0,10,153,0.9709185928106792,0.7875,0.576547101230789,0.8325
132,1,10,299,0.0996313781924395,0.975,0.6134999384787306,0.85
133,2,10,281,0.41988837657759637,0.9175,0.5532294427121822,0.845
134,3,10,86,0.3512576025044703,0.9175,0.5158681047196936,0.8675
135,4,10,250,0.87932188383212,0.84,0.6589668906560726,0.8225
136,5,10,253,0.44336342772961074,0.9025,0.5696863230856544,0.8525
137,6,10,249,0.6996923016958629,0.8625,0.7659691643728423,0.8
138,7,10,97,0.7867597115896314,0.8075,0.7916695046736574,0.7875
139,8,10,133,0.3741492328581837,0.905,0.6090685483987139,0.8425
140,9,10,64,0.29192392933072925,0.9025,0.6269143496256804,0.8075
141,11,10,277,0.7777836665676109,0.8375,0.6693051016853132,0.8275
142,12,10,111,0.26352040851959424,0.93,0.7066792023532447,0.8175
143,13,10,144,0.4451240463013536,0.9125,0.5384199340361769,0.86
144,0,11,70,1.0541141991044443,0.7625,0.7142193391501243,0.8125
145,1,11,172,0.11508905151237922,0.97,0.7954492244740667,0.81
146,2,11,135,0.6672715006429373,0.885,0.632682400317081,0.865
147,3,11,80,0.316933707347931,0.9175,0.8580709412984628,0.8325
148,4,11,226,0.9012255138814356,0.8225,0.9484320271676951,0.82
149,5,11,152,0.392728624156687,0.9075,0.6666471708506676,0.845
150,6,11,113,0.6881726616741959,0.85,0.890062929337716,0.78
151,7,11,297,1.09020569541471,0.7775,0.9164933921066464,0.805
152,8,11,54,0.39613775714410937,0.89,0.8090602987449705,0.795
153,9,11,160,0.5112393699279888,0.8925,0.7867364494323499,0.8275
154,10,11,158,0.7190719676362195,0.8525,0.6696806404075755,0.85
155,12,11,244,0.25302125941779874,0.95,0.803880377912976,0.825
156,13,11,61,0.4369600362635663,0.8925,0.7039403415466994,0.835
157,0,12,101,1.1564653700590988,0.7625,0.3387792448838334,0.9025
158,1,12,128,0.15393586717793248,0.96,0.2747849258491595,0.905
159,2,12,93,0.43837521035762683,0.9,0.20079997543396297,0.9175
160,3,12,106,0.3176408436372563,0.9275,0.2646816335294943,0.9075
161,4,12,284,0.873477242312906,0.8375,0.2960363850431653,0.9025
162,5,12,41,0.2886666211203141,0.91,0.3095056275212248,0.885
163,6,12,263,0.657324562806075,0.8575,0.2584580704164742,0.9225
164,7,12,93,0.8729229596210674,0.8175,0.17987148055251254,0.94
165,8,12,57,0.4149933450471254,0.885,0.3357656069196018,0.88
166,9,12,41,0.41314360036359005,0.8925,0.2479664486598861,0.9025
167,10,12,261,0.6599764547128042,0.8625,0.2636127228861801,0.915
168,11,12,246,0.8722105204389039,0.8275,0.29915859049847565,0.9075
169,13,12,86,0.414889907179294,0.895,0.4173406100157473,0.8725
170,0,13,118,1.073928757106641,0.7725,0.40210715542820813,0.89
171,1,13,100,0.09047852704671858,0.9775,0.5391273938137138,0.8475
172,2,13,233,0.5711451249870557,0.9025,0.5776366976452311,0.865
173,3,13,117,0.3228122605704956,0.9175,0.5427687428811722,0.85
174,4,13,98,1.0442894664113458,0.815,0.5596052177310938,0.8625
175,5,13,92,0.3162613036563774,0.9125,0.4936384588082013,0.86
176,6,13,106,0.6404701971936395,0.855,0.4515815457760118,0.885
177,7,13,67,0.820019562012367,0.805,0.4583583196696873,0.8625
178,8,13,37,0.29529501310219575,0.9,0.42519577615895954,0.86
179,9,13,150,0.4372159965073402,0.895,0.6172399234800673,0.845
180,10,13,298,0.5993712987810558,0.87,0.4781295647015317,0.88
181,11,13,171,0.9689057522522375,0.83,0.5276311018294172,0.8675
182,12,13,113,0.30900720197185877,0.9125,0.6021699983758177,0.83
